Product_ID,Product_Name,Category,Date,Units_Sold,Price_Per_Unit,Revenue
FU_23178,Cradle,Furniture,2024-11-28,3,4953.642790388808,14860.93
BA_97303,Bed Rail,Baby Safety,2024-07-06,3,929.8782819806142,2789.63
BA_14210,Safety Gate,Baby Safety,2024-06-03,5,3800.445361237778,19002.23
BA_16823,Safety Gate,Baby Safety,2024-09-27,9,4696.752863158295,42270.78
FU_57930,Study Table,Furniture,2025-01-16,9,3366.700622037841,30300.31
FU_99774,Cradle,Furniture,2024-09-30,9,2295.262567010577,20657.36
FU_11638,Study Table,Furniture,2024-05-21,4,3529.6126170850775,14118.45
BA_43649,Car Seat,Baby Gear,2024-11-10,7,2916.7996304811572,20417.6
BA_51887,Bed Rail,Baby Safety,2024-10-05,9,2459.0676364303836,22131.61
BA_23629,Car,Battery Operated,2025-05-07,2,4736.268226915448,9472.54
FU_19712,High Chair,Furniture,2024-05-13,4,2066.6952035357117,8266.78
BA_35666,Safety Gate,Baby Safety,2025-01-10,2,4024.3493789336653,8048.7
BA_24770,Bike,Battery Operated,2024-12-28,9,1584.2069753117437,14257.86
BA_87742,Bike,Battery Operated,2024-08-29,3,2083.213496398822,6249.64
TO_57099,Ride-on,Toys,2024-07-03,4,4766.424587135124,19065.7
FU_38095,Study Table,Furniture,2025-04-19,4,1796.0185940204344,7184.07
BA_78602,Bed Rail,Baby Safety,2025-04-21,9,1607.5642220660868,14468.08
TO_87624,Scooter,Toys,2024-08-26,10,1135.214263655173,11352.14
BA_52512,Car Seat,Baby Gear,2024-07-08,8,2197.557636377498,17580.46
BA_67847,Stroller,Baby Gear,2025-04-24,5,1573.04144967721,7865.21
FU_35185,Cradle,Furniture,2024-08-25,3,771.7260507213745,2315.18
TO_95946,Ride-on,Toys,2024-05-10,3,832.7296446235058,2498.19
BA_39511,Bike,Battery Operated,2024-09-06,5,3524.130191784176,17620.65
BA_55484,Walker,Baby Gear,2024-10-25,2,2415.2991250124915,4830.6
BA_79444,Bed Rail,Baby Safety,2024-11-19,3,3744.178710441331,11232.54
FU_57427,Study Table,Furniture,2024-08-20,7,769.4966284939012,5386.48
BA_32826,Walker,Baby Gear,2025-01-23,5,3435.296315819598,17176.48
BA_34822,Safety Gate,Baby Safety,2025-05-03,8,1469.4436713691014,11755.55
BA_68742,Bike,Battery Operated,2024-12-01,10,3363.767602770056,33637.68
BA_21051,Walker,Baby Gear,2024-12-23,6,4242.9136372353505,25457.48
BA_52799,Walker,Baby Gear,2025-02-17,3,4717.25126478008,14151.75
TO_71746,Ride-on,Toys,2024-08-14,3,520.1548587115227,1560.46
BA_82027,Stroller,Baby Gear,2024-12-25,2,3923.4285409421855,7846.86
FU_68039,Study Table,Furniture,2024-10-31,7,3829.342301231886,26805.4
TO_96001,Scooter,Toys,2025-04-16,9,2376.6678778113965,21390.01
BA_80905,Bike,Battery Operated,2025-01-11,8,2132.658605360498,17061.27
FU_82970,Cradle,Furniture,2024-12-22,3,1180.565455370274,3541.7
FU_18187,Cradle,Furniture,2025-04-17,9,2063.6420153350246,18572.78
BA_82702,Bike,Battery Operated,2024-12-13,4,505.06493076399926,2020.26
BA_68590,Safety Gate,Baby Safety,2024-12-17,10,4643.6698392593935,46436.7
BA_11685,Jeep,Battery Operated,2025-02-17,3,3872.3262710006793,11616.98
FU_89811,Cradle,Furniture,2024-12-07,7,1952.9899555903305,13670.93
BA_76713,Jeep,Battery Operated,2024-09-10,1,687.0578527022284,687.06
BA_34608,Stroller,Baby Gear,2024-08-14,4,2204.4321927688106,8817.73
BA_85933,Bed Rail,Baby Safety,2024-11-22,10,1365.922139951993,13659.22
FU_57630,Study Table,Furniture,2024-11-08,6,1158.1734086654271,6949.04
BA_27095,Walker,Baby Gear,2024-06-09,6,2730.5432682935498,16383.26
TO_94068,Ride-on,Toys,2024-06-03,9,3937.1608184106676,35434.45
BA_73194,Stroller,Baby Gear,2024-06-20,9,2637.0025139084087,23733.02
FU_15556,Cradle,Furniture,2025-02-02,10,4671.2049812785435,46712.05
BA_71281,Bike,Battery Operated,2024-08-30,6,2000.5082210504888,12003.05
BA_31176,Bed Rail,Baby Safety,2024-07-31,7,1194.9111521561545,8364.38
FU_34862,Cradle,Furniture,2024-05-29,7,1755.3899414985651,12287.73
BA_40563,Car,Battery Operated,2025-03-20,6,1932.3453806862906,11594.07
TO_76744,Scooter,Toys,2024-08-02,2,1684.509984119801,3369.02
FU_56355,Study Table,Furniture,2024-06-06,6,4754.551506469545,28527.31
TO_13705,Ride-on,Toys,2024-07-03,4,4959.770563102973,19839.08
FU_32746,Study Table,Furniture,2024-10-10,5,611.5677768239872,3057.84
BA_42071,Car Seat,Baby Gear,2025-04-03,5,1102.4709292710313,5512.35
TO_48577,Scooter,Toys,2024-07-05,1,4346.035840320215,4346.04
BA_46803,Bike,Battery Operated,2024-08-14,9,2139.421112046005,19254.79
FU_84840,Study Table,Furniture,2024-09-07,7,1916.8785689411764,13418.15
BA_79384,Jeep,Battery Operated,2025-02-24,8,2044.6038432644698,16356.83
TO_40845,Scooter,Toys,2024-07-05,8,4336.491856447734,34691.93
BA_31472,Jeep,Battery Operated,2024-05-09,2,3046.1158945485317,6092.23
BA_28612,Safety Gate,Baby Safety,2024-08-26,5,3820.459479924887,19102.3
BA_99988,Safety Gate,Baby Safety,2024-11-15,3,4037.867922255022,12113.6
BA_39869,Car Seat,Baby Gear,2025-03-25,9,3136.7641549928667,28230.88
FU_40305,Study Table,Furniture,2024-12-21,2,1410.618963356419,2821.24
BA_69818,Stroller,Baby Gear,2024-10-24,3,4609.372402624357,13828.12
FU_28925,Study Table,Furniture,2024-08-20,4,637.2396212320907,2548.96
BA_38373,Bike,Battery Operated,2024-08-08,9,2143.3876974613795,19290.49
